,name,address,distance,rating,comment,price
249,Backpackers Hostel - Taipei Changchun,"Zhongshan District, Taipei",2.3 k,8.0,Very Good,"TWD 1,500"
250,Wholesome Hotel,"Wanhua District , Taipei",2.3 k,7.9,Good,"TWD 3,700"
251,Taipei Lotty Hotel,"Zhongshan District, Taipei",2.3 k,7.7,Good,"TWD 2,449"
252,Caesar Metro Taipei,"Wanhua District , Taipei",2.3 k,8.3,Very Good,"TWD 5,800"
253,貴都飯店-Crystal Hotel Taipei,"Wanhua District , Taipei",2.3 k,6.1,Review score,"TWD 2,080"
254,Courtyard by Marriott Taipei Downtown,"Zhongshan District, Taipei",2.4 k,9.1,Wonderful,"TWD 7,600"
255,苓旅中山館-Lininn ZhongShan,"Zhongshan District, Taipei",2.4 k,8.6,Excellent,"TWD 3,580"
256,FX Hotel Taipei Nanjing East Road Branch,"Zhongshan District, Taipei",2.4 k,8.1,Very Good,"TWD 3,571"
257,Silken Hotel,"Zhongshan District, Taipei",2.5 k,8.5,Very Good,"TWD 3,492"
258,Hotel Metropolitan Premier Taipei,"Zhongshan District, Taipei",2.5 k,8.9,Excellent,"TWD 8,910"
259,JSL hotel,"Zhongshan District, Taipei",2.5 k,8.4,Very Good,"TWD 5,591"
260,Walker Hotel - Zhengyi 2,"Sanchong District , Taipei",2.5 k,6.6,Review score,"TWD 2,336"
261,Urbanone Hotel,"Sanchong District , Taipei",2.5 k,6.7,Review score,"TWD 1,480"
262,The Metro Hotel - Taipei Branch,"Zhongshan District, Taipei",2.5 k,8.0,Very Good,"TWD 3,400"
263,Walker Hotel - Zhengyi,"Sanchong District , Taipei",2.5 k,6.6,Review score,"TWD 2,236"
